"id","title","detail","price","category_id"
1,Imperial Classical Verses Vol. 4,A fine collection of classical persian poetry curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,2570000,7
2,Coastal Classical Masters Vol. 65,A fine collection of classical persian poetry curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,11100000,7
3,Golden Classical Symphony Vol. 26,A fine collection of classical persian poetry curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,13010000,7
4,Vintage Classical Legacy Vol. 70,A fine collection of classical persian poetry curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,8040000,7
5,Coastal Classical Treasures Vol. 76,A fine collection of classical persian poetry curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,5670000,7
6,Golden Classical Reflections Vol. 90,A fine collection of classical persian poetry curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,8090000,7
7,Mystic Classical Echoes Vol. 20,A fine collection of classical persian poetry curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,4610000,7
8,Mystic Classical Chronicles Vol. 12,A fine collection of classical persian poetry curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,7370000,7
9,Ancient Classical Heritage Vol. 45,A fine collection of classical persian poetry curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,11130000,7
10,Royal Classical Verses Vol. 94,A fine collection of classical persian poetry curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,8710000,7
11,Celestial Classical Chronicles Vol. 49,A fine collection of classical persian poetry curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,2320000,7
12,Celestial Classical Echoes Vol. 81,A fine collection of classical persian poetry curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,11380000,7
13,Mystic Contemporary Whispers Vol. 25,A fine collection of contemporary poetry curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,12820000,8
14,Ancient Contemporary Verses Vol. 85,A fine collection of contemporary poetry curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,4820000,8
15,Royal Contemporary Chronicles Vol. 30,A fine collection of contemporary poetry curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,2690000,8
16,Imperial Contemporary Echoes Vol. 59,A fine collection of contemporary poetry curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,11670000,8
17,Mystic Contemporary Reflections Vol. 48,A fine collection of contemporary poetry curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,6960000,8
18,Coastal Contemporary Memoirs Vol. 35,A fine collection of contemporary poetry curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,12770000,8
19,Vintage Contemporary Memoirs Vol. 10,A fine collection of contemporary poetry curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,11220000,8
20,Vintage Contemporary Reflections Vol. 69,A fine collection of contemporary poetry curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,13230000,8
21,Coastal Contemporary Reflections Vol. 60,A fine collection of contemporary poetry curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,7370000,8
22,Royal Translated Memoirs Vol. 89,A fine collection of translated world poetry curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,10340000,9
23,Coastal Translated Memoirs Vol. 42,A fine collection of translated world poetry curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,13890000,9
24,Golden Translated Masters Vol. 5,A fine collection of translated world poetry curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,14510000,9
25,Mystic Translated Visions Vol. 35,A fine collection of translated world poetry curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,2110000,9
26,Coastal Translated Whispers Vol. 92,A fine collection of translated world poetry curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,6280000,9
27,Coastal Translated Memoirs Vol. 64,A fine collection of translated world poetry curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,7640000,9
28,Vintage Illustrated Treasures Vol. 19,A fine collection of illustrated poetry editions curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,5440000,10
29,Eternal Illustrated Masters Vol. 96,A fine collection of illustrated poetry editions curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,10420000,10
30,Celestial Illustrated Echoes Vol. 96,A fine collection of illustrated poetry editions curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,10810000,10
31,Imperial Illustrated Whispers Vol. 52,A fine collection of illustrated poetry editions curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,7070000,10
32,Coastal Illustrated Reflections Vol. 66,A fine collection of illustrated poetry editions curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,9280000,10
33,Ancient Illustrated Verses Vol. 15,A fine collection of illustrated poetry editions curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,3560000,10
34,Vintage Illustrated Reflections Vol. 88,A fine collection of illustrated poetry editions curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,8080000,10
35,Sacred Illustrated Chronicles Vol. 50,A fine collection of illustrated poetry editions curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,7400000,10
36,Sacred Illustrated Treasures Vol. 68,A fine collection of illustrated poetry editions curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,5220000,10
37,Celestial Illustrated Verses Vol. 88,A fine collection of illustrated poetry editions curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,13090000,10
38,Ancient Illustrated Memoirs Vol. 69,A fine collection of illustrated poetry editions curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,13600000,10
39,Royal Illustrated Memoirs Vol. 44,A fine collection of illustrated poetry editions curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,2870000,10
40,Royal Ancient Visions Vol. 21,A fine collection of ancient persia curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,17220000,11
41,Golden Ancient Legacy Vol. 93,A fine collection of ancient persia curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,10840000,11
42,Celestial Ancient Reflections Vol. 65,A fine collection of ancient persia curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,5570000,11
43,Vintage Ancient Echoes Vol. 82,A fine collection of ancient persia curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,19030000,11
44,Sacred Ancient Masters Vol. 20,A fine collection of ancient persia curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,14550000,11
45,Eternal Ancient Symphony Vol. 68,A fine collection of ancient persia curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,2020000,11
46,Sacred Ancient Heritage Vol. 63,A fine collection of ancient persia curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,2650000,11
47,Ancient Ancient Heritage Vol. 40,A fine collection of ancient persia curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,10030000,11
48,Golden Ancient Masters Vol. 73,A fine collection of ancient persia curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,4640000,11
49,Ancient Ancient Legacy Vol. 63,A fine collection of ancient persia curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,29380000,11
50,Ancient Ancient Symphony Vol. 99,A fine collection of ancient persia curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,6220000,11
51,Eternal Islamic Memoirs Vol. 61,A fine collection of islamic era history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,20450000,12
52,Eternal Islamic Echoes Vol. 68,A fine collection of islamic era history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,22350000,12
53,Imperial Islamic Masters Vol. 70,A fine collection of islamic era history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,27340000,12
54,Classic Islamic Legacy Vol. 26,A fine collection of islamic era history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,25920000,12
55,Royal Islamic Visions Vol. 86,A fine collection of islamic era history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,23810000,12
56,Mystic Islamic Treasures Vol. 67,A fine collection of islamic era history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,17150000,12
57,Ancient Islamic Masters Vol. 29,A fine collection of islamic era history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,4150000,12
58,Mystic Islamic Verses Vol. 76,A fine collection of islamic era history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,20590000,12
59,Coastal Islamic Whispers Vol. 29,A fine collection of islamic era history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,2240000,12
60,Ancient Modern Legacy Vol. 81,A fine collection of modern iranian history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,3980000,13
61,Coastal Modern Chronicles Vol. 5,A fine collection of modern iranian history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,13090000,13
62,Ancient Modern Symphony Vol. 31,A fine collection of modern iranian history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,11340000,13
63,Vintage Modern Treasures Vol. 28,A fine collection of modern iranian history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,20090000,13
64,Eternal Modern Legacy Vol. 74,A fine collection of modern iranian history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,21330000,13
65,Silent Modern Masters Vol. 61,A fine collection of modern iranian history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,29100000,13
66,Imperial World Masters Vol. 13,A fine collection of world history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,5250000,14
67,Vintage World Visions Vol. 46,A fine collection of world history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,16210000,14
68,Imperial World Treasures Vol. 94,A fine collection of world history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,3820000,14
69,Vintage World Memoirs Vol. 83,A fine collection of world history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,5300000,14
70,Golden World Visions Vol. 94,A fine collection of world history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,13390000,14
71,Ancient World Masters Vol. 25,A fine collection of world history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,8380000,14
72,Celestial World Treasures Vol. 18,A fine collection of world history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,16160000,14
73,Eternal World Echoes Vol. 60,A fine collection of world history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,10380000,14
74,Ancient World Treasures Vol. 71,A fine collection of world history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,5290000,14
75,Golden Local/Regional Memoirs Vol. 70,A fine collection of local/regional history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,2500000,15
76,Ancient Local/Regional Masters Vol. 22,A fine collection of local/regional history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,15640000,15
77,Silent Local/Regional Treasures Vol. 28,A fine collection of local/regional history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,15460000,15
78,Golden Local/Regional Reflections Vol. 49,A fine collection of local/regional history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,2070000,15
79,Imperial Local/Regional Echoes Vol. 59,A fine collection of local/regional history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,11570000,15
80,Imperial Local/Regional Legacy Vol. 94,A fine collection of local/regional history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,28290000,15
81,Celestial Local/Regional Memoirs Vol. 92,A fine collection of local/regional history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,18330000,15
82,Eternal Local/Regional Masters Vol. 38,A fine collection of local/regional history curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,9300000,15
83,Golden Miniature Whispers Vol. 95,A fine collection of miniature reproductions curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,77770000,16
84,Golden Miniature Legacy Vol. 41,A fine collection of miniature reproductions curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,12670000,16
85,Golden Miniature Whispers Vol. 62,A fine collection of miniature reproductions curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,72490000,16
86,Celestial Miniature Reflections Vol. 8,A fine collection of miniature reproductions curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,73160000,16
87,Ancient Miniature Reflections Vol. 9,A fine collection of miniature reproductions curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,84860000,16
88,Ancient Miniature Memoirs Vol. 31,A fine collection of miniature reproductions curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,59190000,16
89,Ancient Oil Whispers Vol. 32,A fine collection of oil painting books curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,82700000,17
90,Sacred Oil Verses Vol. 80,A fine collection of oil painting books curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,16000000,17
91,Imperial Oil Memoirs Vol. 75,A fine collection of oil painting books curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,80860000,17
92,Celestial Oil Heritage Vol. 34,A fine collection of oil painting books curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,32420000,17
93,Vintage Oil Legacy Vol. 41,A fine collection of oil painting books curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,37040000,17
195,Vintage Numbered Chronicles Vol. 73,A fine collection of numbered collector editions curated for art and literature connoisseurs. Features high quality printing and detailed annotations.,78510000,29
